codigo,nombre,apellidos,departamento,salario,fechaAlta,categoria,situacion
00001,JUAN,GARCIA LOPEZ,INFORMATICA,37500.00,2020-01-15,SENIOR,ACTIVO
00002,MARIA,MARTINEZ RUIZ,CONTABILIDAD,32000.00,2019-03-22,SENIOR,ACTIVO
00003,CARLOS,FERNANDEZ GIL,RECURSOS HUMANOS,31000.00,2021-06-10,JUNIOR,ACTIVO
00004,ANA,RODRIGUEZ DIAZ,INFORMATICA,43500.00,2018-11-05,SENIOR,ACTIVO
00005,LUIS,SANCHEZ PEREZ,VENTAS,30000.00,2020-07-18,MEDIO,ACTIVO
00006,ELENA,GOMEZ MARTIN,CONTABILIDAD,33000.00,2019-09-12,MEDIO,ACTIVO
00007,PEDRO,LOPEZ GARCIA,INFORMATICA,47000.00,2017-04-25,SENIOR,ACTIVO
00008,LAURA,HERNANDEZ RUIZ,MARKETING,29000.00,2021-02-14,JUNIOR,ACTIVO
00009,JORGE,JIMENEZ SANCHEZ,VENTAS,31000.00,2020-05-30,MEDIO,ACTIVO
00010,CARMEN,DIAZ FERNANDEZ,RECURSOS HUMANOS,30500.00,2022-01-08,JUNIOR,ACTIVO
00011,ANTONIO,MORENO LOPEZ,INFORMATICA,38000.00,2019-07-22,MEDIO,ACTIVO
00012,ISABEL,MUNOZ GARCIA,CONTABILIDAD,35800.00,2018-12-15,SENIOR,ACTIVO
00013,FRANCISCO,ALVAREZ MARTINEZ,VENTAS,32000.00,2020-03-10,MEDIO,ACTIVO
00014,TERESA,ROMERO SANCHEZ,MARKETING,28000.00,2021-08-05,JUNIOR,ACTIVO
00015,MIGUEL,SANZ LOPEZ,INFORMATICA,43200.00,2019-02-18,SENIOR,ACTIVO
00016,ROCIO,RUBIO GARCIA,RECURSOS HUMANOS,29000.00,2020-11-22,MEDIO,ACTIVO
00017,DAVID,MOLINA DIAZ,INFORMATICA,38800.00,2021-04-12,MEDIO,ACTIVO
00018,BEATRIZ,MORALES PEREZ,CONTABILIDAD,31000.00,2019-10-30,MEDIO,ACTIVO
00019,JAVIER,ORTIZ FERNANDEZ,VENTAS,34600.00,2020-06-15,MEDIO,ACTIVO
00020,RAQUEL,DELGADO RUIZ,MARKETING,27000.00,2022-03-20,JUNIOR,ACTIVO
00021,ALBERTO,CASTRO LOPEZ,INFORMATICA,46500.00,2018-05-08,SENIOR,ACTIVO
00022,CRISTINA,ORTEGA GARCIA,RECURSOS HUMANOS,30000.00,2020-09-25,MEDIO,ACTIVO
00023,MANUEL,RUBIO MARTINEZ,VENTAS,32200.00,2021-01-14,JUNIOR,ACTIVO
00024,SILVIA,MARIN SANCHEZ,CONTABILIDAD,35000.00,2019-06-18,SENIOR,ACTIVO
00025,ROBERTO,SANTOS DIAZ,INFORMATICA,40900.00,2020-02-10,MEDIO,ACTIVO
